"entry","gender","age","marital_status","highest_qualification","nationality","ethnicity","gross_income","region","smoke","amt_weekends","amt_weekdays","type"
"1514","Female",46,"Married","Other/Sub Degree","British","White","10,400 to 15,600","Wales","No",NA,NA,""
"1515","Male",23,"Single","No Qualification","Welsh","White","2,600 to 5,200","Wales","No",NA,NA,""
"1516","Male",58,"Married","Degree","British","White","20,800 to 28,600","Wales","No",NA,NA,""
"1517","Male",16,"Single","GCSE/O Level","Welsh","White","Under 2,600","Wales","No",NA,NA,""
"1518","Male",71,"Married","No Qualification","Welsh","White","15,600 to 20,800","Wales","No",NA,NA,""
"1519","Female",47,"Married","No Qualification","British","White","2,600 to 5,200","Wales","Yes",10,10,"Packets"
"1520","Male",34,"Married","Degree","Welsh","White","20,800 to 28,600","Wales","No",NA,NA,""
"1521","Female",55,"Single","No Qualification","British","White","Above 36,400","Wales","No",NA,NA,""
"1522","Female",78,"Widowed","Other/Sub Degree","British","White","20,800 to 28,600","Wales","No",NA,NA,""
"1523","Male",35,"Single","No Qualification","Welsh","White","2,600 to 5,200","Wales","Yes",40,40,"Hand-Rolled"
"1524","Male",68,"Married","No Qualification","English","White","20,800 to 28,600","Wales","No",NA,NA,""
"1525","Male",76,"Single","No Qualification","British","White","5,200 to 10,400","Wales","No",NA,NA,""
"1526","Male",28,"Single","GCSE/CSE","Welsh","White","10,400 to 15,600","Wales","No",NA,NA,""
"1527","Female",36,"Divorced","GCSE/CSE","British","White","5,200 to 10,400","Wales","Yes",20,20,"Both/Mainly Packets"
"1528","Female",57,"Divorced","ONC/BTEC","English","White","5,200 to 10,400","Wales","No",NA,NA,""
"1529","Female",29,"Single","Higher/Sub Degree","Welsh","White","10,400 to 15,600","Wales","Yes",20,10,"Both/Mainly Packets"
"1530","Female",27,"Single","GCSE/O Level","Welsh","White","5,200 to 10,400","Wales","Yes",5,5,"Packets"
"1531","Female",64,"Widowed","No Qualification","English","White","2,600 to 5,200","Wales","No",NA,NA,""
"1532","Female",89,"Single","No Qualification","Welsh","White","Refused","Wales","No",NA,NA,""
"1533","Female",26,"Single","GCSE/CSE","Welsh","White","2,600 to 5,200","Wales","Yes",15,15,"Packets"
"1534","Male",27,"Single","Higher/Sub Degree","Welsh","White","20,800 to 28,600","Wales","No",NA,NA,""
"1535","Male",66,"Single","Higher/Sub Degree","English","White","10,400 to 15,600","Wales","No",NA,NA,""
"1536","Female",84,"Widowed","No Qualification","British","White","5,200 to 10,400","Wales","No",NA,NA,""
"1537","Male",41,"Single","Higher/Sub Degree","British","White","20,800 to 28,600","Wales","Yes",20,12,"Packets"
"1538","Male",27,"Single","Degree","British","White","15,600 to 20,800","Wales","No",NA,NA,""
"1539","Female",40,"Divorced","GCSE/O Level","English","White","10,400 to 15,600","Wales","No",NA,NA,""
"1540","Female",79,"Widowed","No Qualification","British","White","10,400 to 15,600","Wales","No",NA,NA,""
"1541","Male",49,"Married","No Qualification","English","White","20,800 to 28,600","Wales","Yes",20,20,"Packets"
"1542","Female",79,"Widowed","No Qualification","British","White","Unknown","Wales","No",NA,NA,""
"1543","Female",54,"Married","No Qualification","Welsh","White","Under 2,600","Wales","No",NA,NA,""
"1544","Male",25,"Single","GCSE/O Level","Scottish","White","5,200 to 10,400","Scotland","Yes",10,10,"Packets"
"1545","Female",45,"Single","Degree","Scottish","White","28,600 to 36,400","Scotland","Yes",5,5,"Packets"
"1546","Female",24,"Single","Degree","Scottish","White","5,200 to 10,400","Scotland","Yes",5,5,"Packets"
"1547","Female",54,"Divorced","No Qualification","Scottish","White","10,400 to 15,600","Scotland","Yes",20,10,"Packets"
"1548","Female",78,"Widowed","No Qualification","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1549","Male",50,"Married","No Qualification","Scottish","White","10,400 to 15,600","Scotland","Yes",25,25,"Hand-Rolled"
"1550","Female",42,"Married","Degree","Scottish","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1551","Female",32,"Single","A Levels","Scottish","White","10,400 to 15,600","Scotland","Yes",10,10,"Packets"
"1552","Male",75,"Single","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1553","Female",25,"Single","GCSE/O Level","Scottish","White","Under 2,600","Scotland","Yes",15,15,"Packets"
"1554","Male",50,"Separated","Higher/Sub Degree","Scottish","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1555","Male",24,"Single","Higher/Sub Degree","Scottish","White","28,600 to 36,400","Scotland","Yes",15,15,"Packets"
"1556","Male",35,"Single","Higher/Sub Degree","British","White","28,600 to 36,400","Scotland","No",NA,NA,""
"1557","Female",52,"Married","No Qualification","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1558","Female",42,"Married","Degree","British","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1559","Male",44,"Separated","GCSE/O Level","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1560","Male",67,"Widowed","No Qualification","Scottish","White","5,200 to 10,400","Scotland","Yes",20,12,"Hand-Rolled"
"1561","Female",69,"Widowed","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1562","Female",91,"Single","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1563","Male",61,"Divorced","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1564","Female",50,"Single","Degree","British","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1565","Male",37,"Single","Higher/Sub Degree","Scottish","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1566","Female",35,"Single","Higher/Sub Degree","Scottish","White","15,600 to 20,800","Scotland","Yes",15,15,"Packets"
"1567","Male",24,"Single","Higher/Sub Degree","British","White","10,400 to 15,600","Scotland","Yes",20,15,"Packets"
"1568","Female",39,"Single","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1569","Female",79,"Divorced","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1570","Male",40,"Married","Degree","Scottish","White","Above 36,400","Scotland","No",NA,NA,""
"1571","Male",60,"Married","Degree","British","White","Above 36,400","Scotland","No",NA,NA,""
"1572","Male",42,"Married","No Qualification","Scottish","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1573","Male",64,"Widowed","Other/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1574","Female",55,"Married","GCSE/O Level","Scottish","White","15,600 to 20,800","Scotland","Yes",2,10,"Packets"
"1575","Male",54,"Married","Other/Sub Degree","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1576","Female",61,"Married","Higher/Sub Degree","British","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1577","Female",62,"Divorced","Higher/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1578","Female",59,"Divorced","Degree","Scottish","White","Unknown","Scotland","No",NA,NA,""
"1579","Female",79,"Widowed","GCSE/CSE","Scottish","White","Refused","Scotland","No",NA,NA,""
"1580","Female",37,"Married","Degree","British","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1581","Female",55,"Married","Other/Sub Degree","Scottish","White","2,600 to 5,200","Scotland","Yes",12,8,"Packets"
"1582","Female",88,"Widowed","Higher/Sub Degree","Scottish","White","28,600 to 36,400","Scotland","No",NA,NA,""
"1583","Female",39,"Divorced","Degree","British","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1584","Male",34,"Single","Degree","British","White","Above 36,400","Scotland","No",NA,NA,""
"1585","Male",42,"Married","Degree","Scottish","White","28,600 to 36,400","Scotland","No",NA,NA,""
"1586","Female",45,"Married","Degree","British","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1587","Male",59,"Married","ONC/BTEC","Scottish","White","Above 36,400","Scotland","No",NA,NA,""
"1588","Male",58,"Married","GCSE/O Level","British","White","10,400 to 15,600","Scotland","Yes",30,30,"Packets"
"1589","Male",74,"Widowed","Higher/Sub Degree","British","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1590","Male",45,"Married","GCSE/O Level","Scottish","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1591","Male",64,"Married","No Qualification","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1592","Male",53,"Single","Higher/Sub Degree","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1593","Male",40,"Married","GCSE/O Level","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1594","Male",30,"Married","ONC/BTEC","Scottish","White","15,600 to 20,800","Scotland","Yes",10,10,"Hand-Rolled"
"1595","Male",70,"Married","No Qualification","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1596","Female",28,"Separated","ONC/BTEC","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1597","Female",78,"Widowed","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1598","Male",41,"Married","A Levels","Scottish","White","20,800 to 28,600","Scotland","Yes",24,24,"Packets"
"1599","Female",69,"Divorced","No Qualification","British","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1600","Male",54,"Married","GCSE/O Level","Scottish","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1601","Male",59,"Married","ONC/BTEC","Scottish","White","15,600 to 20,800","Scotland","Yes",20,20,"Hand-Rolled"
"1602","Female",23,"Single","GCSE/O Level","Scottish","White","5,200 to 10,400","Scotland","Yes",15,15,"Packets"
"1603","Male",40,"Married","No Qualification","Scottish","White","15,600 to 20,800","Scotland","Yes",30,15,"Packets"
"1604","Male",17,"Single","GCSE/O Level","Scottish","White","5,200 to 10,400","Scotland","Yes",15,6,"Packets"
"1605","Male",54,"Single","No Qualification","British","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1606","Female",49,"Divorced","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1607","Male",55,"Married","Higher/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","Yes",45,45,"Hand-Rolled"
"1608","Male",51,"Widowed","ONC/BTEC","Scottish","White","5,200 to 10,400","Scotland","Yes",20,20,"Packets"
"1609","Female",73,"Married","No Qualification","Scottish","White","Under 2,600","Scotland","No",NA,NA,""
"1610","Female",41,"Married","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1611","Female",70,"Married","GCSE/O Level","British","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1612","Female",44,"Separated","No Qualification","Scottish","White","10,400 to 15,600","Scotland","Yes",15,10,"Packets"
"1613","Male",51,"Divorced","No Qualification","Scottish","White","Under 2,600","Scotland","No",NA,NA,""
"1614","Male",68,"Married","Degree","Irish","White","28,600 to 36,400","Scotland","Yes",1,0,"Packets"
"1615","Female",75,"Separated","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1616","Male",60,"Married","No Qualification","Scottish","White","5,200 to 10,400","Scotland","Yes",20,15,"Packets"
"1617","Male",56,"Married","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1618","Male",64,"Widowed","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1619","Female",27,"Single","Degree","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1620","Female",73,"Widowed","No Qualification","Scottish","White","5,200 to 10,400","Scotland","Yes",20,12,"Packets"
"1621","Male",34,"Single","GCSE/O Level","Scottish","White","15,600 to 20,800","Scotland","Yes",10,2,"Packets"
"1622","Male",47,"Married","GCSE/O Level","British","White","10,400 to 15,600","Scotland","Yes",15,10,"Hand-Rolled"
"1623","Male",32,"Single","A Levels","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1624","Male",63,"Married","No Qualification","British","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1625","Female",23,"Single","Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1626","Female",63,"Married","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1627","Female",46,"Divorced","A Levels","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1628","Male",48,"Single","A Levels","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1629","Male",68,"Married","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1630","Male",52,"Separated","No Qualification","Scottish","White","15,600 to 20,800","Scotland","Yes",20,20,"Packets"
"1631","Female",29,"Separated","No Qualification","Scottish","White","15,600 to 20,800","Scotland","Yes",10,6,"Packets"
"1632","Female",16,"Single","No Qualification","Scottish","White","Refused","Scotland","No",NA,NA,""
"1633","Male",41,"Divorced","A Levels","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1634","Female",48,"Widowed","No Qualification","Scottish","White","5,200 to 10,400","Scotland","Yes",20,20,"Packets"
"1635","Male",24,"Single","A Levels","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1636","Male",72,"Widowed","No Qualification","Scottish","White","5,200 to 10,400","Scotland","Yes",40,40,"Hand-Rolled"
"1637","Male",45,"Married","GCSE/O Level","British","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1638","Female",28,"Married","Degree","British","White","28,600 to 36,400","Scotland","No",NA,NA,""
"1639","Male",20,"Single","A Levels","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1640","Female",69,"Widowed","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1641","Female",70,"Married","No Qualification","Scottish","White","Under 2,600","Scotland","No",NA,NA,""
"1642","Male",50,"Married","GCSE/CSE","Scottish","White","15,600 to 20,800","Scotland","Yes",25,20,"Both/Mainly Packets"
"1643","Male",63,"Married","A Levels","Scottish","White","5,200 to 10,400","Scotland","Yes",20,20,"Packets"
"1644","Male",44,"Married","GCSE/O Level","British","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1645","Female",83,"Widowed","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1646","Female",17,"Single","GCSE/CSE","Scottish","White","5,200 to 10,400","Scotland","Yes",20,15,"Packets"
"1647","Female",61,"Married","Other/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1648","Female",47,"Married","GCSE/O Level","Scottish","White","5,200 to 10,400","Scotland","Yes",15,20,"Packets"
"1649","Male",57,"Married","Degree","Scottish","White","28,600 to 36,400","Scotland","No",NA,NA,""
"1650","Female",44,"Married","GCSE/O Level","Scottish","White","5,200 to 10,400","Scotland","Yes",15,10,"Packets"
"1651","Male",52,"Single","GCSE/CSE","Irish","White","15,600 to 20,800","Scotland","Yes",25,20,"Both/Mainly Packets"
"1652","Male",82,"Married","No Qualification","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1653","Male",63,"Married","A Levels","Scottish","White","28,600 to 36,400","Scotland","No",NA,NA,""
"1654","Female",72,"Separated","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1655","Male",39,"Married","Higher/Sub Degree","Scottish","White","Above 36,400","Scotland","No",NA,NA,""
"1656","Male",16,"Single","No Qualification","Scottish","White","Refused","Scotland","No",NA,NA,""
"1657","Female",35,"Divorced","Degree","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1658","Female",39,"Married","Degree","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1659","Male",56,"Separated","No Qualification","Scottish","White","Refused","Scotland","Yes",10,10,"Hand-Rolled"
"1660","Female",31,"Single","Other/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","Yes",60,30,"Packets"
"1661","Male",61,"Married","No Qualification","Scottish","White","Under 2,600","Scotland","No",NA,NA,""
"1662","Male",23,"Separated","GCSE/O Level","Scottish","White","Under 2,600","Scotland","Yes",5,0,"Packets"
"1663","Male",34,"Single","No Qualification","Scottish","White","10,400 to 15,600","Scotland","Yes",35,18,"Both/Mainly Hand-Rolled"
"1664","Male",24,"Single","Degree","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1665","Male",82,"Single","Other/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1666","Male",27,"Married","A Levels","Scottish","White","15,600 to 20,800","Scotland","No",NA,NA,""
"1667","Female",62,"Divorced","GCSE/CSE","Scottish","White","2,600 to 5,200","Scotland","Yes",18,18,"Packets"
"1668","Male",39,"Married","Higher/Sub Degree","British","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1669","Male",44,"Separated","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1670","Female",43,"Single","No Qualification","British","White","10,400 to 15,600","Scotland","Yes",25,20,"Packets"
"1671","Male",31,"Single","GCSE/O Level","Scottish","White","2,600 to 5,200","Scotland","Yes",20,15,"Both/Mainly Packets"
"1672","Male",77,"Divorced","Other/Sub Degree","English","White","5,200 to 10,400","Scotland","Yes",20,10,"Packets"
"1673","Female",20,"Single","GCSE/O Level","English","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1674","Female",81,"Widowed","Other/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1675","Female",31,"Single","GCSE/O Level","Scottish","White","15,600 to 20,800","Scotland","Yes",20,10,"Packets"
"1676","Female",78,"Married","Other/Sub Degree","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1677","Male",35,"Married","A Levels","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1678","Female",67,"Widowed","No Qualification","Scottish","White","Under 2,600","Scotland","No",NA,NA,""
"1679","Male",65,"Divorced","Other/Sub Degree","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1680","Male",61,"Married","Higher/Sub Degree","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""
"1681","Male",24,"Single","No Qualification","Scottish","White","Under 2,600","Scotland","Yes",15,15,"Hand-Rolled"
"1682","Male",53,"Single","No Qualification","Scottish","White","20,800 to 28,600","Scotland","No",NA,NA,""
"1683","Female",63,"Married","No Qualification","British","White","Refused","Scotland","No",NA,NA,""
"1684","Male",35,"Married","No Qualification","Scottish","White","10,400 to 15,600","Scotland","Yes",3,12,"Packets"
"1685","Male",78,"Widowed","No Qualification","Scottish","White","Refused","Scotland","No",NA,NA,""
"1686","Female",31,"Single","Other/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1687","Male",22,"Single","No Qualification","Scottish","White","2,600 to 5,200","Scotland","No",NA,NA,""
"1688","Female",49,"Divorced","Other/Sub Degree","English","White","2,600 to 5,200","Scotland","Yes",20,20,"Hand-Rolled"
"1689","Male",45,"Married","Other/Sub Degree","Scottish","White","5,200 to 10,400","Scotland","No",NA,NA,""
"1690","Female",51,"Married","No Qualification","English","White","2,600 to 5,200","Scotland","Yes",20,20,"Packets"
"1691","Male",31,"Married","Degree","Scottish","White","10,400 to 15,600","Scotland","No",NA,NA,""